hedId	rdfs:label	Level	omn:SubClassOf	Attributes	dc:description	omn:EquivalentTo
HED_0012057	Eye-movement-vertical-artifact	2	Biological-artifact		Example for EEG: The EEG shows positive potentials (50-100 micro V) with bi-frontal distribution, maximum at Fp1 and Fp2, when the eyeball rotated upward. The downward rotation of the eyeball was associated with the negative deflection. The time course of the deflections was similar to the time course of the eyeball movement.	
HED_0012058	Slow-eye-movement-artifact	2	Biological-artifact		Slow, rolling eye-movements, seen during drowsiness.	
HED_0012059	Nystagmus-artifact	2	Biological-artifact			
HED_0012060	Chewing-artifact	2	Biological-artifact			
HED_0012061	Sucking-artifact	2	Biological-artifact			
HED_0012062	Glossokinetic-artifact	2	Biological-artifact		The tongue functions as a dipole, with the tip negative with respect to the base. The artifact produced by the tongue has a broad potential field that drops from frontal to occipital areas, although it is less steep than that produced by eye movement artifacts. The amplitude of the potentials is greater inferiorly than in parasagittal regions; the frequency is variable but usually in the delta range. Chewing and sucking can produce similar artifacts.	
HED_0012063	Rocking-patting-artifact	2	Biological-artifact		Quasi-rhythmical artifacts in recordings from infants caused by rocking/patting.	
HED_0012064	Movement-artifact	2	Biological-artifact		Example for EEG: Large amplitude artifact, with irregular morphology (usually resembling a slow-wave or a wave with complex morphology) seen in one or several channels, due to movement. If the causing movement is repetitive, the artifact might resemble a rhythmic EEG activity.	
HED_0012065	Respiration-artifact	2	Biological-artifact		Respiration can produce 2 kinds of artifacts. One type is in the form of slow and rhythmic activity, synchronous with the body movements of respiration and mechanically affecting the impedance of (usually) one electrode. The other type can be slow or sharp waves that occur synchronously with inhalation or exhalation and involve those electrodes on which the patient is lying.	
HED_0012066	Pulse-artifact	2	Biological-artifact		Example for EEG: Occurs when an EEG electrode is placed over a pulsating vessel. The pulsation can cause slow waves that may simulate EEG activity. A direct relationship exists between ECG and the pulse waves (200-300 millisecond delay after ECG equals QRS complex).	
HED_0012067	ECG-artifact	2	Biological-artifact		Example for EEG: Far-field potential generated in the heart. The voltage and apparent surface of the artifact vary from derivation to derivation and, consequently, from montage to montage. The artifact is observed best in referential montages using earlobe electrodes A1 and A2. ECG artifact is recognized easily by its rhythmicity/regularity and coincidence with the ECG tracing.	
HED_0012068	Sweat-artifact	2	Biological-artifact		Is a low amplitude undulating waveform that is usually greater than 2 seconds and may appear to be an unstable baseline.	
HED_0012069	EMG-artifact	2	Biological-artifact		Myogenic potentials are the most common artifacts. Frontalis and temporalis muscles (ex..: clenching of jaw muscles) are common causes. Generally, the potentials generated in the muscles are of shorter duration than those generated in the brain. The frequency components are usually beyond 30-50 Hz, and the bursts are arrhythmic.	
HED_0012070	Non-biological-artifact	1	Artifact	suggestedTag=Artifact-significance-to-recording	Non-biological artifacts refer to anomalies in recordings introduced by external factors, potentially impacting the interpretation of the data.	"Artifact and (suggestedTag value ""Artifact-significance-to-recording"")"
HED_0012071	Power-supply-artifact	2	Non-biological-artifact		50-60 Hz artifact. Monomorphic waveform due to 50 or 60 Hz A/C power supply.	
HED_0012072	Induction-artifact	2	Non-biological-artifact		Artifacts (usually of high frequency) induced by nearby equipment (like in the intensive care unit).	
HED_0012073	Dialysis-artifact	2	Non-biological-artifact			
HED_0012074	Artificial-ventilation-artifact	2	Non-biological-artifact			
HED_0012075	Electrode-pops-artifact	2	Non-biological-artifact		Are brief discharges with a very steep upslope and shallow fall that occur in all leads which include that electrode.	
HED_0012076	Salt-bridge-artifact	2	Non-biological-artifact		Typically occurs in 1 channel which may appear isoelectric. Only seen in bipolar montage.	
HED_0012077	Other-artifact	1	Artifact	requireChild, suggestedTag=Artifact-significance-to-recording		"Artifact and (requireChild value true) and (suggestedTag value ""Artifact-significance-to-recording"")"
HED_0012078	Other-artifact-#	2	Other-artifact	takesValue, valueClass=textClass	Free text.	"Other-artifact and (takesValue value true) and (valueClass value ""textClass"")"
HED_0012079	Critically-ill-patients-patterns	0	HedTag		Rhythmic or periodic patterns in critically ill patients (RPPs) are scored according to the 2012 version of the American Clinical Neurophysiology Society Standardized Critical Care EEG Terminology (Hirsch et al., 2013).	HedTag and (inHedSchema some ScoreSchema)
HED_0012080	Critically-ill-patients-periodic-discharges	1	Critically-ill-patients-patterns	suggestedTag=Periodic-discharge-morphology, suggestedTag=Brain-laterality, suggestedTag=Brain-region, suggestedTag=Sensors, suggestedTag=Finding-frequency, suggestedTag=Periodic-discharge-time-related-features	Periodic discharges (PDs): Periodic - repetition of a waveform with relatively uniform morphology and duration with a quantifiable inter-discharge interval between consecutive waveforms and recurrence of the waveform at nearly regular intervals.	"Critically-ill-patients-patterns and (suggestedTag value ""Periodic-discharge-morphology"") and (suggestedTag value ""Brain-laterality"") and (suggestedTag value ""Brain-region"") and (suggestedTag value ""Sensors"") and (suggestedTag value ""Finding-frequency"") and (suggestedTag value ""Periodic-discharge-time-related-features"")"
HED_0012081	Rhythmic-delta-activity	1	Critically-ill-patients-patterns	suggestedTag=Periodic-discharge-superimposed-activity, suggestedTag=Periodic-discharge-absolute-amplitude, suggestedTag=Brain-laterality, suggestedTag=Brain-region, suggestedTag=Sensors, suggestedTag=Finding-frequency, suggestedTag=Periodic-discharge-time-related-features	Rhythmic Delta Activity (RDA): Rhythmic - repetition of a waveform with relatively uniform morphology and duration, and without an interval between consecutive waveforms. RDA - rhythmic activity less than or equal to 4 Hz. The duration of one cycle (i.e., the period) of the rhythmic pattern should vary by less than 50 percent from the duration of the subsequent cycle for the majority (greater than 50 percent) of cycle pairs to qualify as rhythmic.	"Critically-ill-patients-patterns and (suggestedTag value ""Periodic-discharge-superimposed-activity"") and (suggestedTag value ""Periodic-discharge-absolute-amplitude"") and (suggestedTag value ""Brain-laterality"") and (suggestedTag value ""Brain-region"") and (suggestedTag value ""Sensors"") and (suggestedTag value ""Finding-frequency"") and (suggestedTag value ""Periodic-discharge-time-related-features"")"
HED_0012082	Spike-or-sharp-and-wave	1	Critically-ill-patients-patterns	suggestedTag=Periodic-discharge-sharpness, suggestedTag=Number-of-periodic-discharge-phases, suggestedTag=Periodic-discharge-triphasic-morphology, suggestedTag=Periodic-discharge-absolute-amplitude, suggestedTag=Periodic-discharge-relative-amplitude, suggestedTag=Periodic-discharge-polarity, suggestedTag=Brain-laterality, suggestedTag=Brain-region, suggestedTag=Sensors, suggestedTag=Multifocal-finding, suggestedTag=Finding-frequency, suggestedTag=Periodic-discharge-time-related-features	Spike-and-wave or Sharp-and-wave (SW) - polyspike, spike or sharp wave consistently followed by a slow wave in a regularly repeating and alternating pattern (spike-wave-spike-wave-spike-wave), with a consistent relationship between the spike (or polyspike or sharp wave) component and the slow wave; and with no interval between one spike-wave complex and the next (if there is an interval, this would qualify as PDs, where each discharge is a spike-and- wave).	"Critically-ill-patients-patterns and (suggestedTag value ""Periodic-discharge-sharpness"") and (suggestedTag value ""Number-of-periodic-discharge-phases"") and (suggestedTag value ""Periodic-discharge-triphasic-morphology"") and (suggestedTag value ""Periodic-discharge-absolute-amplitude"") and (suggestedTag value ""Periodic-discharge-relative-amplitude"") and (suggestedTag value ""Periodic-discharge-polarity"") and (suggestedTag value ""Brain-laterality"") and (suggestedTag value ""Brain-region"") and (suggestedTag value ""Sensors"") and (suggestedTag value ""Multifocal-finding"") and (suggestedTag value ""Finding-frequency"") and (suggestedTag value ""Periodic-discharge-time-related-features"")"
HED_0012083	Episode	0	HedTag		Clinical episode or electrographic seizure.	HedTag and (inHedSchema some ScoreSchema)
HED_0012084	Epileptic-seizure	1	Episode	suggestedTag=Episode-phase, suggestedTag=Seizure-dynamics, suggestedTag=Episode-consciousness, suggestedTag=Episode-awareness, suggestedTag=Clinical-EEG-temporal-relationship, suggestedTag=Episode-event-count, suggestedTag=State-episode-start, suggestedTag=Episode-postictal-phase, suggestedTag=Episode-prodrome, suggestedTag=Episode-tongue-biting	The ILAE presented a revised seizure classification that divides seizures into focal, generalized onset, or unknown onset.	"Episode and (suggestedTag value ""Episode-phase"") and (suggestedTag value ""Seizure-dynamics"") and (suggestedTag value ""Episode-consciousness"") and (suggestedTag value ""Episode-awareness"") and (suggestedTag value ""Clinical-EEG-temporal-relationship"") and (suggestedTag value ""Episode-event-count"") and (suggestedTag value ""State-episode-start"") and (suggestedTag value ""Episode-postictal-phase"") and (suggestedTag value ""Episode-prodrome"") and (suggestedTag value ""Episode-tongue-biting"")"
HED_0012085	Focal-onset-epileptic-seizure	2	Epileptic-seizure	suggestedTag=Automatism-motor-seizure, suggestedTag=Atonic-motor-seizure, suggestedTag=Clonic-motor-seizure, suggestedTag=Epileptic-spasm-episode, suggestedTag=Hyperkinetic-motor-seizure, suggestedTag=Myoclonic-motor-seizure, suggestedTag=Tonic-motor-seizure, suggestedTag=Autonomic-nonmotor-seizure, suggestedTag=Behavior-arrest-nonmotor-seizure, suggestedTag=Cognitive-nonmotor-seizure, suggestedTag=Emotional-nonmotor-seizure, suggestedTag=Sensory-nonmotor-seizure	A seizure that originates in a specific area of the brain (focal onset). Focal seizures can be divided into focal aware and impaired awareness seizures, with additional motor and nonmotor classifications.	"Epileptic-seizure and (suggestedTag value ""Automatism-motor-seizure"") and (suggestedTag value ""Atonic-motor-seizure"") and (suggestedTag value ""Clonic-motor-seizure"") and (suggestedTag value ""Epileptic-spasm-episode"") and (suggestedTag value ""Hyperkinetic-motor-seizure"") and (suggestedTag value ""Myoclonic-motor-seizure"") and (suggestedTag value ""Tonic-motor-seizure"") and (suggestedTag value ""Autonomic-nonmotor-seizure"") and (suggestedTag value ""Behavior-arrest-nonmotor-seizure"") and (suggestedTag value ""Cognitive-nonmotor-seizure"") and (suggestedTag value ""Emotional-nonmotor-seizure"") and (suggestedTag value ""Sensory-nonmotor-seizure"")"
HED_0012086	Aware-focal-onset-epileptic-seizure	3	Focal-onset-epileptic-seizure			
HED_0012087	Impaired-awareness-focal-onset-epileptic-seizure	3	Focal-onset-epileptic-seizure			
HED_0012088	Awareness-unknown-focal-onset-epileptic-seizure	3	Focal-onset-epileptic-seizure			
HED_0012089	Focal-to-bilateral-tonic-clonic-focal-onset-epileptic-seizure	3	Focal-onset-epileptic-seizure		A seizure type with focal onset, with awareness or impaired awareness, either motor or non-motor, progressing to bilateral tonic clonic activity. The prior term was seizure with partial onset with secondary generalization. Definition from ILAE 2017 Classification of Seizure Types Expanded Version	
HED_0012090	Generalized-onset-epileptic-seizure	2	Epileptic-seizure	suggestedTag=Tonic-clonic-motor-seizure, suggestedTag=Clonic-motor-seizure, suggestedTag=Tonic-motor-seizure, suggestedTag=Myoclonic-motor-seizure, suggestedTag=Myoclonic-tonic-clonic-motor-seizure, suggestedTag=Myoclonic-atonic-motor-seizure, suggestedTag=Atonic-motor-seizure, suggestedTag=Epileptic-spasm-episode, suggestedTag=Typical-absence-seizure, suggestedTag=Atypical-absence-seizure, suggestedTag=Myoclonic-absence-seizure, suggestedTag=Eyelid-myoclonia-absence-seizure	Generalized-onset seizures are classified as motor or nonmotor (absence), without using awareness level as a classifier, as most but not all of these seizures are linked with impaired awareness.	"Epileptic-seizure and (suggestedTag value ""Tonic-clonic-motor-seizure"") and (suggestedTag value ""Clonic-motor-seizure"") and (suggestedTag value ""Tonic-motor-seizure"") and (suggestedTag value ""Myoclonic-motor-seizure"") and (suggestedTag value ""Myoclonic-tonic-clonic-motor-seizure"") and (suggestedTag value ""Myoclonic-atonic-motor-seizure"") and (suggestedTag value ""Atonic-motor-seizure"") and (suggestedTag value ""Epileptic-spasm-episode"") and (suggestedTag value ""Typical-absence-seizure"") and (suggestedTag value ""Atypical-absence-seizure"") and (suggestedTag value ""Myoclonic-absence-seizure"") and (suggestedTag value ""Eyelid-myoclonia-absence-seizure"")"
HED_0012091	Unknown-onset-epileptic-seizure	2	Epileptic-seizure	suggestedTag=Tonic-clonic-motor-seizure, suggestedTag=Epileptic-spasm-episode, suggestedTag=Behavior-arrest-nonmotor-seizure	Even if the onset of seizures is unknown, they may exhibit characteristics that fall into categories such as motor, nonmotor, tonic-clonic, epileptic spasms, or behavior arrest.	"Epileptic-seizure and (suggestedTag value ""Tonic-clonic-motor-seizure"") and (suggestedTag value ""Epileptic-spasm-episode"") and (suggestedTag value ""Behavior-arrest-nonmotor-seizure"")"
HED_0012092	Unclassified-epileptic-seizure	2	Epileptic-seizure		Referring to a seizure type that cannot be described by the ILAE 2017 classification either because of inadequate information or unusual clinical features.	
HED_0012093	Subtle-seizure	1	Episode	suggestedTag=Episode-phase, suggestedTag=Episode-consciousness, suggestedTag=Episode-awareness, suggestedTag=Clinical-EEG-temporal-relationship, suggestedTag=Episode-event-count, suggestedTag=State-episode-start, suggestedTag=Episode-postictal-phase, suggestedTag=Episode-prodrome, suggestedTag=Episode-tongue-biting	Seizure type frequent in neonates, sometimes referred to as motor automatisms; they may include random and roving eye movements, sucking, chewing motions, tongue protrusion, rowing or swimming or boxing movements of the arms, pedaling and bicycling movements of the lower limbs; apneic seizures are relatively common. Although some subtle seizures are associated with rhythmic ictal EEG discharges, and are clearly epileptic, ictal EEG often does not show typical epileptic activity.	"Episode and (suggestedTag value ""Episode-phase"") and (suggestedTag value ""Episode-consciousness"") and (suggestedTag value ""Episode-awareness"") and (suggestedTag value ""Clinical-EEG-temporal-relationship"") and (suggestedTag value ""Episode-event-count"") and (suggestedTag value ""State-episode-start"") and (suggestedTag value ""Episode-postictal-phase"") and (suggestedTag value ""Episode-prodrome"") and (suggestedTag value ""Episode-tongue-biting"")"
HED_0012094	Electrographic-seizure	1	Episode	suggestedTag=Episode-phase, suggestedTag=Episode-consciousness, suggestedTag=Episode-awareness, suggestedTag=Clinical-EEG-temporal-relationship, suggestedTag=Episode-event-count, suggestedTag=State-episode-start, suggestedTag=Episode-postictal-phase, suggestedTag=Episode-prodrome, suggestedTag=Episode-tongue-biting	Referred usually to non convulsive status. Ictal EEG: rhythmic discharge or spike and wave pattern with definite evolution in frequency, location, or morphology lasting at least 10 s; evolution in amplitude alone did not qualify.	"Episode and (suggestedTag value ""Episode-phase"") and (suggestedTag value ""Episode-consciousness"") and (suggestedTag value ""Episode-awareness"") and (suggestedTag value ""Clinical-EEG-temporal-relationship"") and (suggestedTag value ""Episode-event-count"") and (suggestedTag value ""State-episode-start"") and (suggestedTag value ""Episode-postictal-phase"") and (suggestedTag value ""Episode-prodrome"") and (suggestedTag value ""Episode-tongue-biting"")"
HED_0012095	Seizure-PNES	1	Episode	suggestedTag=Episode-phase, suggestedTag=Finding-significance-to-recording, suggestedTag=Episode-consciousness, suggestedTag=Episode-awareness, suggestedTag=Clinical-EEG-temporal-relationship, suggestedTag=Episode-event-count, suggestedTag=State-episode-start, suggestedTag=Episode-postictal-phase, suggestedTag=Episode-prodrome, suggestedTag=Episode-tongue-biting	Psychogenic non-epileptic seizure.	"Episode and (suggestedTag value ""Episode-phase"") and (suggestedTag value ""Finding-significance-to-recording"") and (suggestedTag value ""Episode-consciousness"") and (suggestedTag value ""Episode-awareness"") and (suggestedTag value ""Clinical-EEG-temporal-relationship"") and (suggestedTag value ""Episode-event-count"") and (suggestedTag value ""State-episode-start"") and (suggestedTag value ""Episode-postictal-phase"") and (suggestedTag value ""Episode-prodrome"") and (suggestedTag value ""Episode-tongue-biting"")"
HED_0012096	Sleep-related-episode	1	Episode	suggestedTag=Episode-phase, suggestedTag=Finding-significance-to-recording, suggestedTag=Episode-consciousness, suggestedTag=Episode-awareness, suggestedTag=Clinical-EEG-temporal-relationship, suggestedTag=Episode-event-count, suggestedTag=State-episode-start, suggestedTag=Episode-postictal-phase, suggestedTag=Episode-prodrome, suggestedTag=Episode-tongue-biting		"Episode and (suggestedTag value ""Episode-phase"") and (suggestedTag value ""Finding-significance-to-recording"") and (suggestedTag value ""Episode-consciousness"") and (suggestedTag value ""Episode-awareness"") and (suggestedTag value ""Clinical-EEG-temporal-relationship"") and (suggestedTag value ""Episode-event-count"") and (suggestedTag value ""State-episode-start"") and (suggestedTag value ""Episode-postictal-phase"") and (suggestedTag value ""Episode-prodrome"") and (suggestedTag value ""Episode-tongue-biting"")"
HED_0012097	Sleep-related-arousal	2	Sleep-related-episode		Normal.	
HED_0012098	Benign-sleep-myoclonus	2	Sleep-related-episode		A distinctive disorder of sleep characterized by a) neonatal onset, b) rhythmic myoclonic jerks only during sleep and c) abrupt and consistent cessation with arousal, d) absence of concomitant electrographic changes suggestive of seizures, and e) good outcome.	
